Arrest_Year,Arrest_Boro,Arrest_Total
2014,Bronx,439
2014,Brooklyn,442
2014,Manhattan,589
2014,Queens,1071
2014,SI,41
2015,Bronx,345
2015,Brooklyn,516
2015,Manhattan,468
2015,Queens,861
2015,SI,62
2016,Bronx,293
2016,Brooklyn,633
2016,Manhattan,386
2016,Queens,858
2016,SI,57
2017,Bronx,314
2017,Brooklyn,520
2017,Manhattan,357
2017,Queens,600
2017,SI,58
2018,Bronx,244
2018,Brooklyn,440
2018,Manhattan,279
2018,Queens,595
2018,SI,26
2019,Bronx,160
2019,Brooklyn,204
2019,Manhattan,140
2019,Queens,427
2019,SI,38
2020,Bronx,232
2020,Brooklyn,61
2020,Manhattan,39
2020,Queens,81
2020,SI,3
2021,Bronx,25
2021,Brooklyn,37
2021,Manhattan,13
2021,Queens,102
2021,SI,3
2022,Bronx,10
2022,Brooklyn,21
2022,Manhattan,15
2022,Queens,39
2022,SI,5
2023,Bronx,2
2023,Brooklyn,72
2023,Manhattan,4
2023,Queens,120
2023,SI,5
2024,Bronx,17
2024,Brooklyn,62
2024,Manhattan,21
2024,Queens,136
2024,SI,10
