CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50079419,GRACE'S,Manhattan,252,WEST   14 STREET,10011,Irish,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9,A,3/12/24,3/16/24,Cycle Inspection / Re-inspection,40.73916279,-74.00116918,102,3,7700,1011096,1006180007,MN23
50072911,JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454,Spanish,3/11/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,25,Z,3/11/24,3/16/24,Cycle Inspection / Re-inspection,40.80776461,-73.91974867,201,8,2500,2000031,2022650003,BX39
50103017,DELICO,Manhattan,765,2 AVENUE,10017,Sandwiches,1/31/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,42,,,3/16/24,Cycle Inspection / Initial Inspection,40.74913128,-73.97271859,106,4,8800,1037176,1013140028,MN19
50070745,THAI LEAF,Brooklyn,611,86 STREET,11209,Thai,1/11/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,38,,,3/16/24,Cycle Inspection / Initial Inspection,40.62031148,-74.02424598,310,47,14200,3153221,3060370001,BK31
50140179,PLOO,Manhattan,601,WEST   26 STREET,10001,Mexican,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,40,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.7509267,-74.00595522,104,3,9900,1012268,1006720001,MN13
50131223,NEW TANG'S GARDEN,Manhattan,1328,3 AVENUE,10021,Chinese,2/12/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,36,Z,2/12/24,3/16/24,Pre-permit (Operational) / Re-inspection,40.7722325,-73.95879467,108,4,12800,1043151,1014100040,MN40
41345052,BROADWAY GOURMET,Manhattan,584,BROADWAY,10012,American,1/5/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,24,B,1/5/24,3/16/24,Cycle Inspection / Re-inspection,40.72473629,-73.99734105,102,1,4300,1079998,1005110008,MN24
50095278,GOLDEN STAR,Staten Island,2110,CLOVE RD,10305,Chinese,1/8/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,35,,,3/16/24,Cycle Inspection / Initial Inspection,40.60315368,-74.08311228,502,50,5000,,5,SI14
50078463,LOS MARINILLOS,Queens,14108,NORTHERN BLVD,11354,Spanish,2/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2/12/24,3/16/24,Cycle Inspection / Re-inspection,40.76438085,-73.82556669,407,20,86500,4113391,4050120021,QN22
50083647,787 COFFEE,Manhattan,131,EAST    7 STREET,10009,Coffee/Tea,3/6/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/6/24,3/16/24,Cycle Inspection / Initial Inspection,40.72629973,-73.98411447,103,2,3200,1077645,1004350037,MN22
50003572,TERRACE BAGELS,Brooklyn,222-222A,PROSPECT PARK WEST,11215,Bagels/Pretzels,1/8/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,1/8/24,3/16/24,Cycle Inspection / Initial Inspection,40.66000471,-73.98070624,307,39,16900,3026917,3011090043,BK40
41396554,NEW THRIVING RESTAURANT,Queens,12012,LIBERTY AVENUE,11419,Chinese,1/3/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,45,,,3/16/24,Cycle Inspection / Initial Inspection,40.6866615,-73.82303042,410,28,16600,4204293,4095740006,QN55
40391498,PEKING RESTAURANT,Queens,5811,WOODSIDE AVENUE,11377,Chinese,1/9/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,1/9/24,3/16/24,Cycle Inspection / Re-inspection,40.74559668,-73.90628672,402,26,25900,4028290,4012290006,QN63
50050259,CHOPSTIX,Brooklyn,8405,5 AVENUE,11209,Chinese,3/11/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,94,,,3/16/24,Cycle Inspection / Initial Inspection,40.62272115,-74.02539238,310,47,14200,3152852,3060270007,BK31
50105896,ROAST 28,Brooklyn,5124,8 AVENUE,11220,Chinese,2/21/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,45,Z,2/21/24,3/16/24,Cycle Inspection / Re-inspection,40.64037284,-74.00448962,307,43,10800,3250705,3008020048,BK34
50144374,GREEN SPOT CAFE,Queens,6105,MADISON ST,11385,Coffee/Tea,1/16/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.7071674,-73.89693789,405,30,61301,4087711,4036140001,QN20
50057481,FINE & RARE,Manhattan,9,EAST   37 STREET,10016,American,1/31/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,36,,,3/16/24,Cycle Inspection / Initial Inspection,40.750006,-73.98236917,105,4,8200,1017192,1008670009,MN20
50145248,TASTE OF CHINA,Brooklyn,6815,4 AVENUE,11220,Chinese,2/1/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,29,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.63513351,-74.02329661,310,47,13000,3145253,3058640004,BK31
50063550,THE CAMPBELL,Manhattan,15,VANDERBILT AVE,10017,American,1/25/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,1/25/24,3/16/24,Cycle Inspection / Initial Inspection,40.7527857,-73.97807333,105,4,9200,1035381,1012800001,MN19
50000938,DONOVAN'S PUB,Queens,5724,ROOSEVELT AVE,11377,American,1/9/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,,,3/16/24,Cycle Inspection / Initial Inspection,40.74534768,-73.90723622,402,26,25100,4031123,4013280038,QN63
50041809,KENNEDY FRIED CHICKEN,Queens,10220,37TH AVE,11368,American,1/31/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,,,3/16/24,Cycle Inspection / Initial Inspection,40.75306809,-73.86511879,403,21,40500,4440725,4017680013,QN26
50138101,CHINA RIVER,Manhattan,258,WEST   44 STREET,10036,Chinese,1/31/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,Z,1/31/24,3/16/24,Pre-permit (Operational) / Re-inspection,40.75810101,-73.98786086,105,3,11900,1024710,1010150059,MN17
50145918,SWEETS BAKERY & CAFE,Queens,14406,NORTHERN BLVD,11354,Chinese,2/6/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,32,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.76468715,-73.82304972,407,20,116300,4113419,4050140009,QN51
