BORO,DBA,COUNTA of DBA
Manhattan,BLUESTONE LANE,4
,LADUREE SOHO,3
,CRUMBL,3
,VAN LEEUWEN ICE CREAM,2
,TOTTO RAMEN,2
,TIVOLI TRATTORIA,2
,THE UNCOMMONS,2
,THAI PEPPERCORN,2
,TANG PAVILION,2
,SUPER GYRO,2
,SUBWAY,2
,ROYAL NAPOLI PIZZA,2
,PATISSERIE DES AMBASSADES,2
,PANDA HOUSE,2
,MING WONG RESTAURANT,2
,LLOYD'S CARROT CAKE,2
,LATIN AMERICAN RESTAURANT,2
,La Amistad Pizzeria & Grill,2
,JACQUES BRASSERIE,2
,JACK'S DELICATESSEN,2
,H & H MIDTOWN BAGELS EAST,2
,GREGORYS COFFEE,2
,DRUNKEN MUNKEY,2
,DONUT PUB,2
,DOMINO'S,2
,DD SOUP DUMPLING & HIBACHI,2
,DANTE,2
,BROADWAY GOURMET,2
,ACES,2
,ZUCKER'S BAGELS,1
,ZIZI WINE BAR,1
,ZIA MARIA LITTLE ITALY,1
,YUNG SUN SEAFOOD RESTAURANT,1
,YONAH SHIMMELS KNISHES,1
,YESHIVA UNIVERSITY - KUSHNER DINING HALL,1
,YAKINIKU GEN,1
,WU'S WONTON KING,1
,WRAP N RUN GRILL,1
,WOLFNIGHTS,1
,WOK IN THE CLOUDS,1
,WESTVILLE,1
,WESTSIDE WOK / KONATA SUSHI BAR,1
,WAYS AND MEANS,1
,WALLSE RESTAURANT,1
,ViVi Bubble Tea,1
,VINTNER WINE MARKET (BEERS & CHEESE),1
,Vin Sur Vingt,1
,VILLAGE EAST CINEMAS,1
,VILLA MOSCONI RESTAURANT,1
,VEGETARIAN DIM SUM HOUSE,1
,VANGUARD WINE BAR,1
,VANESSA'S DUMPLING HOUSE,1
,VAN LEEUWEN,1
,V-NAM CAFE,1
,UNREGULAR BAKERY,1
,TWO HANDS FRESH CORN DOGS,1
,TWELVE CHAIRS,1
,TSION CAFE & BAKERY,1
,TROPICAL SPANISH RESTAURANT,1
,TRIONA'S,1
,TRIBECA PARK CAFE,1
,TRIA DINER,1
